ID do Aluno,Marca - Unidade,Tentativa Final,Atendimento Final
1091109414,Escola Maris - Unidade C,Sim,Não
1091109410,Escola Maris - Unidade C,Sim,Não
109110101010,Escola Maris - Unidade C,Sim,Não
109110411,Escola Maris - Unidade C,Sim,Não
109110949,Escola Maris - Unidade C,Sim,Sim
109111010104,Escola Maris - Unidade C,Sim,Não
1091110194,Escola Maris - Unidade C,Sim,Não
10911100104,Escola Maris - Unidade C,Sim,Sim
1091110010,Escola Maris - Unidade C,Sim,Sim
1091110444,Escola Maris - Unidade C,Sim,Não
10911111010,Escola Maris - Unidade C,Sim,Não
109111001,Escola Maris - Unidade C,Sim,Sim
1091111010,Escola Maris - Unidade C,Sim,Não
109111014,Escola Maris - Unidade C,Sim,Não
109111110,Escola Maris - Unidade C,Sim,Sim
109111991,Escola Maris - Unidade C,Sim,Não
109114111,Escola Maris - Unidade C,Sim,Não
1091144104,Escola Maris - Unidade C,Sim,Não
109114110,Escola Maris - Unidade C,Sim,Não
109114110,Escola Maris - Unidade C,Sim,Sim
109114141,Escola Maris - Unidade C,Sim,Não
109111011,Escola Maris - Unidade C,Sim,Não
109111091,Escola Maris - Unidade C,Sim,Não
1091111019,Escola Maris - Unidade C,Sim,Não
109111119,Escola Maris - Unidade C,Sim,Sim
109111141,Escola Maris - Unidade C,Sim,Não
109111404,Escola Maris - Unidade C,Sim,Sim
1091114101,Escola Maris - Unidade C,Sim,Não
109111411,Escola Maris - Unidade C,Sim,Não
109119011,Escola Maris - Unidade C,Sim,Não
1091190410,Escola Maris - Unidade C,Sim,Sim
109119101,Escola Maris - Unidade C,Sim,Não
1091191104,Escola Maris - Unidade C,Sim,Não
1091191110,Escola Maris - Unidade C,Sim,Não
109119111,Escola Maris - Unidade C,Sim,Não
109119141,Escola Maris - Unidade C,Sim,Não
109119144,Escola Maris - Unidade C,Sim,Não
109119019,Escola Maris - Unidade C,Sim,Não
109100001,Escola Maris - Unidade C,Sim,Não
109100404,Escola Maris - Unidade C,Sim,Sim
1091004110,Escola Maris - Unidade C,Sim,Não
1091010411,Escola Maris - Unidade C,Sim,Não
1091010401,Escola Maris - Unidade C,Sim,Não
1091010404,Escola Maris - Unidade C,Sim,Sim
1091010441,Escola Maris - Unidade C,Sim,Não
1091010911,Escola Maris - Unidade C,Sim,Não
109101014,Escola Maris - Unidade C,Sim,Sim
109101041,Escola Maris - Unidade C,Sim,Não
109101104,Escola Maris - Unidade C,Sim,Sim
109101141,Escola Maris - Unidade C,Sim,Sim
1091001010,Escola Maris - Unidade C,Sim,Sim
1091004910,Escola Maris - Unidade C,Sim,Sim
109101014,Escola Maris - Unidade C,Sim,Não
109101140,Escola Maris - Unidade C,Sim,Não
1091011101,Escola Maris - Unidade C,Sim,Sim
10910410410,Escola Maris - Unidade C,Sim,Sim
1091040110,Escola Maris - Unidade C,Sim,Não
109104011,Escola Maris - Unidade C,Sim,Não
109104410,Escola Maris - Unidade C,Sim,Não
1091011044,Escola Maris - Unidade C,Sim,Sim
1091011010,Escola Maris - Unidade C,Sim,Sim
10910011010,Escola Maris - Unidade C,Sim,Não
1091091014,Escola Maris - Unidade C,Sim,Sim
109109111,Escola Maris - Unidade C,Sim,Não
109109111,Escola Maris - Unidade C,Sim,Sim
109109449,Escola Maris - Unidade C,Sim,Não
1091091410,Escola Maris - Unidade C,Sim,Não
109109190,Escola Maris - Unidade C,Sim,Não
109109904,Escola Maris - Unidade C,Sim,Sim
109109944,Escola Maris - Unidade C,Sim,Não
109110040,Escola Maris - Unidade C,Sim,Não
109110041,Escola Maris - Unidade C,Sim,Não
109110049,Escola Maris - Unidade C,Sim,Não
1091110104,Escola Maris - Unidade C,Sim,Sim
1091110410,Escola Maris - Unidade C,Sim,Não
1091110449,Escola Maris - Unidade C,Sim,Não
109111190,Escola Maris - Unidade C,Sim,Não
109111019,Escola Maris - Unidade C,Sim,Não
109111109,Escola Maris - Unidade C,Sim,Sim
1091111100,Escola Maris - Unidade C,Sim,Não
109111144,Escola Maris - Unidade C,Sim,Não
109110140,Escola Maris - Unidade C,Sim,Sim
109110194,Escola Maris - Unidade C,Sim,Não
109110114,Escola Maris - Unidade C,Sim,Não
109110111,Escola Maris - Unidade C,Sim,Não
109110441,Escola Maris - Unidade C,Sim,Sim
109110410,Escola Maris - Unidade C,Sim,Não
109110400,Escola Maris - Unidade C,Sim,Não
109110194,Escola Maris - Unidade C,Sim,Sim
1091109104,Escola Maris - Unidade C,Sim,Não
109111014,Escola Maris - Unidade C,Sim,Sim
109111010,Escola Maris - Unidade C,Sim,Não
109111041,Escola Maris - Unidade C,Sim,Sim
1091111004,Escola Maris - Unidade C,Sim,Não
109111140,Escola Maris - Unidade C,Sim,Não
1091110010,Escola Maris - Unidade C,Sim,Não
1091110104,Escola Maris - Unidade C,Sim,Não
109111009,Escola Maris - Unidade C,Sim,Não
109111049,Escola Maris - Unidade C,Sim,Não
109111044,Escola Maris - Unidade C,Sim,Sim
109111494,Escola Maris - Unidade C,Sim,Sim
1091114010,Escola Maris - Unidade C,Sim,Não
109111441,Escola Maris - Unidade C,Sim,Não
109111490,Escola Maris - Unidade C,Sim,Não
1091114104,Escola Maris - Unidade C,Sim,Não
109111400,Escola Maris - Unidade C,Sim,Não
109111401,Escola Maris - Unidade C,Sim,Não
109111440,Escola Maris - Unidade C,Sim,Não
109111100,Escola Maris - Unidade C,Sim,Não
109111101,Escola Maris - Unidade C,Sim,Não
1091119110,Escola Maris - Unidade C,Sim,Não
109111914,Escola Maris - Unidade C,Sim,Não
109114049,Escola Maris - Unidade C,Sim,Sim
1091140910,Escola Maris - Unidade C,Sim,Não
109114101010,Escola Maris - Unidade C,Sim,Não
1091141014,Escola Maris - Unidade C,Sim,Não
10911410110,Escola Maris - Unidade C,Sim,Sim
1091141049,Escola Maris - Unidade C,Sim,Não
109114101,Escola Maris - Unidade C,Sim,Não
109114104,Escola Maris - Unidade C,Sim,Sim
109114199,Escola Maris - Unidade C,Sim,Não
109114004,Escola Maris - Unidade C,Sim,Não
109114044,Escola Maris - Unidade C,Sim,Não
109114099,Escola Maris - Unidade C,Sim,Não
109114140,Escola Maris - Unidade C,Sim,Sim
109114144,Escola Maris - Unidade C,Sim,Sim
109114191,Escola Maris - Unidade C,Sim,Não
109114401,Escola Maris - Unidade C,Sim,Não
109114409,Escola Maris - Unidade C,Sim,Não
109114944,Escola Maris - Unidade C,Sim,Não
1091149110,Escola Maris - Unidade C,Sim,Não
109114014,Escola Maris - Unidade C,Sim,Não
109114011,Escola Maris - Unidade C,Sim,Sim
1091141001,Escola Maris - Unidade C,Sim,Não
1091141009,Escola Maris - Unidade C,Sim,Não
1091141041,Escola Maris - Unidade C,Sim,Não
1091141044,Escola Maris - Unidade C,Sim,Sim
109114004,Escola Maris - Unidade C,Sim,Sim
109114140,Escola Maris - Unidade C,Sim,Não
109114411,Escola Maris - Unidade C,Sim,Sim
109114414,Escola Maris - Unidade C,Sim,Não
109114444,Escola Maris - Unidade C,Sim,Não
109114010,Escola Maris - Unidade C,Sim,Sim
109114114,Escola Maris - Unidade C,Sim,Não
109114141,Escola Maris - Unidade C,Sim,Sim
109114041,Escola Maris - Unidade C,Sim,Sim
1091144410,Escola Maris - Unidade C,Sim,Sim
109114494,Escola Maris - Unidade C,Sim,Não
109114914,Escola Maris - Unidade C,Sim,Sim
109111004,Escola Maris - Unidade C,Sim,Não
1091111099,Escola Maris - Unidade C,Sim,Não
109111441,Escola Maris - Unidade C,Sim,Sim
1091114109,Escola Maris - Unidade C,Sim,Não
109111414,Escola Maris - Unidade C,Sim,Não
10911141010,Escola Maris - Unidade C,Sim,Não
109111141,Escola Maris - Unidade C,Sim,Sim
10911910110,Escola Maris - Unidade C,Sim,Não
1091191011,Escola Maris - Unidade C,Sim,Não
1091191019,Escola Maris - Unidade C,Sim,Não
109119114,Escola Maris - Unidade C,Sim,Sim
109119109,Escola Maris - Unidade C,Sim,Não
109119194,Escola Maris - Unidade C,Sim,Não
109119401,Escola Maris - Unidade C,Sim,Não
109119411,Escola Maris - Unidade C,Sim,Não
1091194109,Escola Maris - Unidade C,Sim,Não
109119414,Escola Maris - Unidade C,Sim,Não
109119444,Escola Maris - Unidade C,Sim,Não
109119441,Escola Maris - Unidade C,Sim,Não
109119911,Escola Maris - Unidade C,Sim,Não
109140049,Escola Maris - Unidade C,Sim,Sim
1091401049,Escola Maris - Unidade C,Sim,Sim
109140111,Escola Maris - Unidade C,Sim,Sim
1091400410,Escola Maris - Unidade C,Sim,Sim
109140041,Escola Maris - Unidade C,Sim,Sim
1091401410,Escola Maris - Unidade C,Sim,Sim
109140141,Escola Maris - Unidade C,Sim,Sim
109140141,Escola Maris - Unidade C,Sim,Não
109140444,Escola Maris - Unidade C,Sim,Sim
109140444,Escola Maris - Unidade C,Sim,Não
109140140,Escola Maris - Unidade C,Sim,Não
109140941,Escola Maris - Unidade C,Sim,Sim
1091410019,Escola Maris - Unidade C,Sim,Não
1091410011,Escola Maris - Unidade C,Sim,Não
109141010100,Escola Maris - Unidade C,Sim,Sim
1091410101,Escola Maris - Unidade C,Sim,Não
1091410411,Escola Maris - Unidade C,Sim,Sim
1091410414,Escola Maris - Unidade C,Sim,Não
10914104410,Escola Maris - Unidade C,Sim,Sim
1091410410,Escola Maris - Unidade C,Sim,Não
1091410490,Escola Maris - Unidade C,Sim,Não
1091410111,Escola Maris - Unidade C,Sim,Sim
1091410944,Escola Maris - Unidade C,Sim,Não
1091410910,Escola Maris - Unidade C,Sim,Não
109141040,Escola Maris - Unidade C,Sim,Não
109141041,Escola Maris - Unidade C,Sim,Não
10914110110,Escola Maris - Unidade C,Sim,Sim
1091411101,Escola Maris - Unidade C,Sim,Não
109141114,Escola Maris - Unidade C,Sim,Sim
109141111,Escola Maris - Unidade C,Sim,Sim
109141110,Escola Maris - Unidade C,Sim,Não
109141114,Escola Maris - Unidade C,Sim,Não
109141410,Escola Maris - Unidade C,Sim,Sim
1091414100,Escola Maris - Unidade C,Sim,Não
109141414,Escola Maris - Unidade C,Sim,Não
109141491,Escola Maris - Unidade C,Sim,Não
109141141,Escola Maris - Unidade C,Sim,Não
109141944,Escola Maris - Unidade C,Sim,Não
109140010,Escola Maris - Unidade C,Sim,Não
109140011,Escola Maris - Unidade C,Sim,Sim
109140014,Escola Maris - Unidade C,Sim,Não
1091401009,Escola Maris - Unidade C,Sim,Não
1091401041,Escola Maris - Unidade C,Sim,Não
109140111,Escola Maris - Unidade C,Sim,Não
109140114,Escola Maris - Unidade C,Sim,Não
1091400104,Escola Maris - Unidade C,Sim,Sim
109140144,Escola Maris - Unidade C,Sim,Sim
109140149,Escola Maris - Unidade C,Sim,Não
109140441,Escola Maris - Unidade C,Sim,Sim
109140400,Escola Maris - Unidade C,Sim,Sim
109140491,Escola Maris - Unidade C,Sim,Não
109140911,Escola Maris - Unidade C,Sim,Sim
109141111,Escola Maris - Unidade C,Sim,Não
109141014,Escola Maris - Unidade C,Sim,Sim
109141049,Escola Maris - Unidade C,Sim,Sim
1091414100,Escola Maris - Unidade C,Sim,Sim
109141410,Escola Maris - Unidade C,Sim,Não
109141449,Escola Maris - Unidade C,Sim,Sim
109141401,Escola Maris - Unidade C,Sim,Sim
1091414110,Escola Maris - Unidade C,Sim,Não
1091414010,Escola Maris - Unidade C,Sim,Sim
1091441104,Escola Maris - Unidade C,Sim,Não
109144409,Escola Maris - Unidade C,Sim,Não
109144440,Escola Maris - Unidade C,Sim,Não
109144441,Escola Maris - Unidade C,Sim,Sim
109144141,Escola Maris - Unidade C,Sim,Sim
109144949,Escola Maris - Unidade C,Sim,Sim
109144940,Escola Maris - Unidade C,Sim,Sim
109144991,Escola Maris - Unidade C,Sim,Não
109144091,Escola Maris - Unidade C,Sim,Sim
1091441101,Escola Maris - Unidade C,Sim,Não
109144141,Escola Maris - Unidade C,Sim,Não
109144011,Escola Maris - Unidade C,Sim,Sim
109144049,Escola Maris - Unidade C,Sim,Não
1091441100,Escola Maris - Unidade C,Sim,Sim
1091441110,Escola Maris - Unidade C,Sim,Não
109144411,Escola Maris - Unidade C,Sim,Não
1091444110,Escola Maris - Unidade C,Sim,Não
109144491,Escola Maris - Unidade C,Sim,Não
1091441100,Escola Maris - Unidade C,Sim,Não
109144911,Escola Maris - Unidade C,Sim,Não
109144901,Escola Maris - Unidade C,Sim,Sim
109144009,Escola Maris - Unidade C,Sim,Sim
1091441044,Escola Maris - Unidade C,Sim,Não
109144104,Escola Maris - Unidade C,Sim,Não
1091441410,Escola Maris - Unidade C,Sim,Sim
109144041,Escola Maris - Unidade C,Sim,Não
109144414,Escola Maris - Unidade C,Sim,Não
109144411,Escola Maris - Unidade C,Sim,Sim
109144494,Escola Maris - Unidade C,Sim,Não
